epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.003,9,,,,,,,
0,,9,,0.053314730525016785,,,,,
,0.003,19,,,,,,,
0,,19,,0.046502672135829926,,,,,
,0.003,29,,,,,,,
0,,29,,0.043201666325330734,,,,,
,0.003,39,,,,,,,
0,,39,,0.03760361298918724,,,,,
,0.003,49,,,,,,,
0,,49,,0.04223266616463661,,,,,
,0.003,59,,,,,,,
0,,59,,0.04046905040740967,,,,,
,0.003,69,,,,,,,
0,,69,,0.029036859050393105,,,,,
,0.003,79,,,,,,,
0,,79,,0.0303080715239048,,,,,
,0.003,89,,,,,,,
0,,89,,0.03147696703672409,,,,,
,0.003,99,,,,,,,
0,,99,,0.03018958307802677,,,,,
,0.003,109,,,,,,,
0,,109,,0.02494429424405098,,,,,
,0.003,119,,,,,,,
0,,119,,0.03261975198984146,,,,,
,0.003,129,,,,,,,
0,,129,,0.03156139701604843,,,,,
,0.003,139,,,,,,,
0,,139,,0.024627674371004105,,,,,
,0.003,149,,,,,,,
0,,149,,0.025461940094828606,,,,,
,0.003,159,,,,,,,
0,,159,,0.028589660301804543,,,,,
,0.003,169,,,,,,,
0,,169,,0.024387456476688385,,,,,
,0.003,179,,,,,,,
0,,179,,0.025342129170894623,,,,,
,0.003,189,,,,,,,
0,,189,,0.033485621213912964,,,,,
,0.003,199,,,,,,,
0,,199,,0.029614368453621864,,,,,
,0.003,209,,,,,,,
0,,209,,0.0222502239048481,,,,,
,0.003,219,,,,,,,
0,,219,,0.02252514846622944,,,,,
,0.003,229,,,,,,,
0,,229,,0.02696223184466362,,,,,
,0.003,239,,,,,,,
0,,239,,0.023414675146341324,,,,,
,0.003,249,,,,,,,
0,,249,,0.02158520556986332,,,,,
,0.003,259,,,,,,,
0,,259,,0.025631574913859367,,,,,
,0.003,269,,,,,,,
0,,269,,0.023634692654013634,,,,,
,0.003,279,,,,,,,
0,,279,,0.02081187069416046,,,,,
,0.003,289,,,,,,,
0,,289,,0.028290381655097008,,,,,
,0.003,299,,,,,,,
0,,299,,0.027147892862558365,,,,,
,0.003,309,,,,,,,
0,,309,,0.023803211748600006,,,,,
,0.003,319,,,,,,,
0,,319,,0.025479447096586227,,,,,
,0.003,329,,,,,,,
0,,329,,0.02250383049249649,,,,,
,0.003,339,,,,,,,
0,,339,,0.02223752811551094,,,,,
,0.003,349,,,,,,,
0,,349,,0.027718637138605118,,,,,
,0.003,359,,,,,,,
0,,359,,0.019831102341413498,,,,,
,0.003,369,,,,,,,
0,,369,,0.022465065121650696,,,,,
,0.003,379,,,,,,,
0,,379,,0.023256072774529457,,,,,
,0.003,389,,,,,,,
0,,389,,0.02130732871592045,,,,,
,0.003,399,,,,,,,
0,,399,,0.020582664757966995,,,,,
